"day","time","ord","car","what","duration","place"
"Mon","10:00-11:15 ","FSG19","114 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","10:00-11:15 ","FSG20","124 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","10:00-11:15 ","FSG21","13 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","10:00-11:15 ","FSG22","66 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","10:00-11:15 ","FSG23","50 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","10:00-11:15 ","FSG24","78 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","10:00-11:15 ","FSG25","42 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","10:00-11:45 ","FSG01","92 ","Accumulator Inspection ","01:45","Inspection Bay 2 "
"Mon","10:00-11:45 ","FSG02","54 ","Accumulator Inspection ","01:45","Inspection Bay 3 "
"Mon","10:00-11:45 ","FSG03","240 ","Accumulator Inspection ","01:45","Inspection Bay 4 "
"Mon","10:00-11:45 ","FSG04","33 ","Accumulator Inspection ","01:45","Inspection Bay 5 "
"Mon","10:00-11:45 ","FSG05","22 ","Accumulator Inspection ","01:45","Inspection Bay 6 "
"Mon","10:00-11:45 ","FSG06","59 ","Accumulator Inspection ","01:45","Inspection Bay 7 "
"Mon","10:00-11:45 ","FSG07","24 ","Accumulator Inspection ","01:45","Inspection Bay 8 "
"Mon","10:00-11:45 ","FSG08","90 ","Accumulator Inspection ","01:45","Inspection Bay 9 "
"Mon","10:00-11:45 ","FSG09","63 ","Accumulator Inspection ","01:45","Inspection Bay 10 "
"Mon","10:00-11:45 ","FSG10","44 ","Accumulator Inspection ","01:45","Inspection Bay 13 "
"Mon","10:00-11:45 ","FSG11","71 ","Accumulator Inspection ","01:45","Inspection Bay 14 "
"Mon","10:00-11:45 ","FSG12","99 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Mon","10:00-11:45 ","FSG13","31 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Mon","10:00-11:45 ","FSG14","15 ","Accumulator Inspection ","01:45","Inspection Bay 17 "
"Mon","10:00-11:45 ","FSG15","49 ","Accumulator Inspection ","01:45","Inspection Bay 18 "
"Mon","10:00-11:45 ","FSG16","313 ","Accumulator Inspection ","01:45","Inspection Bay 19 "
"Mon","10:00-11:45 ","FSG17","41 ","Accumulator Inspection ","01:45","Inspection Bay 20 "
"Mon","10:00-11:45 ","FSG18","340 ","Accumulator Inspection ","01:45","Inspection Bay 21 "
"Mon","11:30-12:45 ","FSG26","95 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","11:30-12:45 ","FSG27","172 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","11:30-12:45 ","FSG28","297 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","11:30-12:45 ","FSG29","96 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","11:30-12:45 ","FSG30","51 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","11:30-12:45 ","FSG31","85 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","11:30-12:45 ","FSG32","62 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","12:45-14:30 ","FSG19","114 ","Accumulator Inspection ","01:45","Inspection Bay 24 "
"Mon","12:45-14:30 ","FSG20","124 ","Accumulator Inspection ","01:45","Inspection Bay 25 "
"Mon","12:45-14:30 ","FSG21","13 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Mon","12:45-14:30 ","FSG22","66 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
"Mon","12:45-14:30 ","FSG23","50 ","Accumulator Inspection ","01:45","Inspection Bay 28 "
"Mon","12:45-14:30 ","FSG24","78 ","Accumulator Inspection ","01:45","Inspection Bay 29 "
"Mon","12:45-14:30 ","FSG25","42 ","Accumulator Inspection ","01:45","Inspection Bay 30 "
"Mon","12:45-14:30 ","FSG26","95 ","Accumulator Inspection ","01:45","Inspection Bay 31 "
"Mon","12:45-14:30 ","FSG27","172 ","Accumulator Inspection ","01:45","Inspection Bay 32 "
"Mon","12:45-14:30 ","FSG28","297 ","Accumulator Inspection ","01:45","Inspection Bay 35 "
"Mon","12:45-14:30 ","FSG29","96 ","Accumulator Inspection ","01:45","Inspection Bay 36 "
"Mon","12:45-14:30 ","FSG30","51 ","Accumulator Inspection ","01:45","Inspection Bay 37 "
"Mon","12:45-14:30 ","FSG31","85 ","Accumulator Inspection ","01:45","Inspection Bay 38 "
"Mon","12:45-14:30 ","FSG32","62 ","Accumulator Inspection ","01:45","Inspection Bay 39 "
"Mon","12:45-14:30 ","FSG33","43 ","Accumulator Inspection ","01:45","Inspection Bay 40 "
"Mon","12:45-14:30 ","FSG34","35 ","Accumulator Inspection ","01:45","Inspection Bay 41 "
"Mon","12:45-14:30 ","FSG35","11 ","Accumulator Inspection ","01:45","Inspection Bay 42 "
"Mon","12:45-14:30 ","FSG36","200 ","Accumulator Inspection ","01:45","Inspection Bay 43 "
"Mon","13:45-15:00 ","FSG01","92 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","13:45-15:00 ","FSG02","54 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","13:45-15:00 ","FSG03","240 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","13:45-15:00 ","FSG04","33 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","13:45-15:00 ","FSG05","22 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","13:45-15:00 ","FSG06","59 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","13:45-15:00 ","FSG07","24 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","14:45-16:30 ","FSG37","67 ","Accumulator Inspection ","01:45","Inspection Bay 2 "
"Mon","14:45-16:30 ","FSG38","111 ","Accumulator Inspection ","01:45","Inspection Bay 3 "
"Mon","14:45-16:30 ","FSG39","84 ","Accumulator Inspection ","01:45","Inspection Bay 4 "
"Mon","14:45-16:30 ","FSG40","23 ","Accumulator Inspection ","01:45","Inspection Bay 5 "
"Mon","14:45-16:30 ","FSG41","25 ","Accumulator Inspection ","01:45","Inspection Bay 6 "
"Mon","14:45-16:30 ","FSG42","140 ","Accumulator Inspection ","01:45","Inspection Bay 7 "
"Mon","14:45-16:30 ","FSG43","100 ","Accumulator Inspection ","01:45","Inspection Bay 8 "
"Mon","14:45-16:30 ","FSG44","40 ","Accumulator Inspection ","01:45","Inspection Bay 9 "
"Mon","14:45-16:30 ","FSG45","76 ","Accumulator Inspection ","01:45","Inspection Bay 10 "
"Mon","14:45-16:30 ","FSG46","173 ","Accumulator Inspection ","01:45","Inspection Bay 13 "
"Mon","14:45-16:30 ","FSG47","224 ","Accumulator Inspection ","01:45","Inspection Bay 14 "
"Mon","14:45-16:30 ","FSG48","122 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Mon","14:45-16:30 ","FSG49","36 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Mon","14:45-16:30 ","FSG50","20 ","Accumulator Inspection ","01:45","Inspection Bay 17 "
"Mon","14:45-16:30 ","FSG51","133 ","Accumulator Inspection ","01:45","Inspection Bay 18 "
"Mon","14:45-16:30 ","FSG52","52 ","Accumulator Inspection ","01:45","Inspection Bay 19 "
"Mon","14:45-16:30 ","FSG53","69 ","Accumulator Inspection ","01:45","Inspection Bay 20 "
"Mon","14:45-16:30 ","FSG54","399 ","Accumulator Inspection ","01:45","Inspection Bay 21 "
"Mon","15:15-16:30 ","FSG08","90 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","15:15-16:30 ","FSG09","63 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","15:15-16:30 ","FSG10","44 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","15:15-16:30 ","FSG11","71 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","15:15-16:30 ","FSG12","99 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","15:15-16:30 ","FSG13","31 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","15:15-16:30 ","FSG14","15 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","17:00-18:15 ","FSG15","49 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","17:00-18:15 ","FSG16","313 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","17:00-18:15 ","FSG17","41 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","17:00-18:15 ","FSG18","340 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","17:00-18:15 ","FSG33","43 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","17:00-18:15 ","FSG34","35 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","17:00-18:15 ","FSG35","11 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Mon","17:00-18:45 ","FSG55","74 ","Accumulator Inspection ","01:45","Inspection Bay 24 "
"Mon","17:00-18:45 ","FSG56","171 ","Accumulator Inspection ","01:45","Inspection Bay 25 "
"Mon","17:00-18:45 ","FSG57","29 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Mon","17:00-18:45 ","FSG58","34 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
"Mon","17:00-18:45 ","FSG59","47 ","Accumulator Inspection ","01:45","Inspection Bay 28 "
"Mon","17:00-18:45 ","FSG60","48 ","Accumulator Inspection ","01:45","Inspection Bay 29 "
"Mon","17:00-18:45 ","FSG61","98 ","Accumulator Inspection ","01:45","Inspection Bay 30 "
"Mon","17:00-18:45 ","FSG62","46 ","Accumulator Inspection ","01:45","Inspection Bay 31 "
"Mon","17:00-18:45 ","FSG63","60 ","Accumulator Inspection ","01:45","Inspection Bay 32 "
"Mon","17:00-18:45 ","FSG64","28 ","Accumulator Inspection ","01:45","Inspection Bay 35 "
"Mon","17:00-18:45 ","FSG65","26 ","Accumulator Inspection ","01:45","Inspection Bay 36 "
"Mon","17:00-18:45 ","FSG66","72 ","Accumulator Inspection ","01:45","Inspection Bay 37 "
"Mon","17:00-18:45 ","FSG67","77 ","Accumulator Inspection ","01:45","Inspection Bay 38 "
"Mon","17:00-18:45 ","FSG68","94 ","Accumulator Inspection ","01:45","Inspection Bay 39 "
"Mon","17:00-18:45 ","FSG69","167 ","Accumulator Inspection ","01:45","Inspection Bay 40 "
"Mon","17:00-18:45 ","FSG70","65 ","Accumulator Inspection ","01:45","Inspection Bay 41 "
"Mon","17:00-18:45 ","FSG71","115 ","Accumulator Inspection ","01:45","Inspection Bay 42 "
"Mon","17:00-18:45 ","FSG72","130 ","Accumulator Inspection ","01:45","Inspection Bay 43 "
"Mon","18:30-19:45 ","FSG36","200 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Mon","18:30-19:45 ","FSG37","67 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Mon","18:30-19:45 ","FSG38","111 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Mon","18:30-19:45 ","FSG39","84 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Mon","18:30-19:45 ","FSG40","23 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Mon","18:30-19:45 ","FSG41","25 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Mon","18:30-19:45 ","FSG42","140 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","09:00-09:30 ","FSG11","71 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","09:00-09:30 ","FSG12","99 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","09:00-09:30 ","FSG13","31 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","09:00-09:30 ","FSG14","15 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","09:00-10:15 ","FSG43","100 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","09:00-10:15 ","FSG44","40 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","09:00-10:15 ","FSG45","76 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","09:00-10:15 ","FSG46","173 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","09:00-10:15 ","FSG47","224 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","09:00-10:15 ","FSG48","122 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Tue","09:00-10:15 ","FSG49","36 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","09:00-10:45 ","FSG01","92 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Tue","09:00-10:45 ","FSG02","54 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Tue","09:00-10:45 ","FSG03","240 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Tue","09:00-10:45 ","FSG04","33 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Tue","09:00-10:45 ","FSG05","22 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Tue","09:00-10:45 ","FSG06","59 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Tue","09:00-10:45 ","FSG07","24 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Tue","09:00-10:45 ","FSG08","90 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Tue","09:00-10:45 ","FSG09","63 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Tue","09:00-10:45 ","FSG10","44 ","Electrical Inspection ","01:45","Inspection Bay 37 "
"Tue","09:00-10:45 ","FSG73","79 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Tue","09:00-10:45 ","FSG74","107 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Tue","09:00-10:45 ","FSG75","141 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Tue","09:00-10:45 ","FSG76","268 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
"Tue","09:00-10:45 ","FSG77","123 ","Accumulator Inspection ","01:45","Inspection Bay 38 "
"Tue","09:00-10:45 ","FSG78","187 ","Accumulator Inspection ","01:45","Inspection Bay 39 "
"Tue","09:45-10:15 ","FSG15","49 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","09:45-10:15 ","FSG16","313 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","09:45-10:15 ","FSG17","41 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","09:45-10:15 ","FSG18","340 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","10:30-11:00 ","FSG21","13 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 1 "
"Tue","10:30-11:00 ","FSG22","66 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 2 "
"Tue","10:30-11:00 ","FSG23","50 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 3 "
"Tue","10:30-11:00 ","FSG24","78 ","Driver Egress + Pre Inspection ","00:30","Pits - Inspection Team 4 "
"Tue","10:30-11:45 ","FSG50","20 ","Mechanical Inspection ","01:15","Inspection Bay 1 "
"Tue","10:30-11:45 ","FSG51","133 ","Mechanical Inspection ","01:15","Inspection Bay 11 "
"Tue","10:30-11:45 ","FSG52","52 ","Mechanical Inspection ","01:15","Inspection Bay 12 "
"Tue","10:30-11:45 ","FSG53","69 ","Mechanical Inspection ","01:15","Inspection Bay 22 "
"Tue","10:30-11:45 ","FSG54","399 ","Mechanical Inspection ","01:15","Inspection Bay 23 "
"Tue","10:30-11:45 ","FSG55","74 ","Mechanical Inspection ","01:15","Inspection Bay 33 "
"Tue","10:30-11:45 ","FSG56","171 ","Mechanical Inspection ","01:15","Inspection Bay 34 "
"Tue","11:00-12:45 ","FSG11","71 ","Electrical Inspection ","01:45","Inspection Bay 2 "
"Tue","11:00-12:45 ","FSG12","99 ","Electrical Inspection ","01:45","Inspection Bay 3 "
"Tue","11:00-12:45 ","FSG13","31 ","Electrical Inspection ","01:45","Inspection Bay 4 "
"Tue","11:00-12:45 ","FSG14","15 ","Electrical Inspection ","01:45","Inspection Bay 13 "
"Tue","11:00-12:45 ","FSG15","49 ","Electrical Inspection ","01:45","Inspection Bay 14 "
"Tue","11:00-12:45 ","FSG16","313 ","Electrical Inspection ","01:45","Inspection Bay 24 "
"Tue","11:00-12:45 ","FSG17","41 ","Electrical Inspection ","01:45","Inspection Bay 25 "
"Tue","11:00-12:45 ","FSG18","340 ","Electrical Inspection ","01:45","Inspection Bay 35 "
"Tue","11:00-12:45 ","FSG19","114 ","Electrical Inspection ","01:45","Inspection Bay 36 "
"Tue","11:00-12:45 ","FSG20","124 ","Electrical Inspection ","01:45","Inspection Bay 37 "
"Tue","11:00-12:45 ","FSG79","80 ","Accumulator Inspection ","01:45","Inspection Bay 15 "
"Tue","11:00-12:45 ","FSG80","70 ","Accumulator Inspection ","01:45","Inspection Bay 16 "
"Tue","11:00-12:45 ","FSG81","181 ","Accumulator Inspection ","01:45","Inspection Bay 26 "
"Tue","11:00-12:45 ","FSG82","249 ","Accumulator Inspection ","01:45","Inspection Bay 27 "
